BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
245280;21407;-1;<p:>;;;;;;;;;;
BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2399;-1;<p:>;;;;;;;;;;
2400;1919;0;b;;Balliett;b { l i: t;;;;;;;
4320;2639;0;{;;Balliett;b { l i: t;;;;;;;
6960;1919;0;l;;Balliett;b { l i: t;;;;;;;
8880;2639;0;i:;;Balliett;b { l i: t;;;;;;;
11520;719;0;t;;Balliett;b { l i: t;;;;;;;
12240;2159;1;s;;stated;s t eI t V d;;;;;;;
14400;959;1;t;;stated;s t eI t V d;;;;;;;
15360;2639;1;eI;;stated;s t eI t V d;;;;;;;
18000;1199;1;4;;stated;s t eI t V d;;;;;;;
19200;1199;1;V;;stated;s t eI t V d;;;;;;;
20400;1439;1;d;;stated;s t eI t V d;;;;;;;
21840;719;2;D;;that;D { t;;;;;;;
22560;1439;2;{;;that;D { t;;;;;;;
24000;959;2;t;;that;D { t;;;;;;;
24960;2399;3;S;;she;S i:;;;;;;;
27360;959;3;i:;;she;S i:;;;;;;;
28320;2399;4;w;;wanted;w Q n t V d;;;;;;;
30720;2159;4;Q;;wanted;w Q n t V d;;;;;;;
32880;719;4;n;;wanted;w Q n t V d;;;;;;;
33600;1199;4;t;;wanted;w Q n t V d;;;;;;;
34800;719;4;V;;wanted;w Q n t V d;;;;;;;
35520;1679;4;d;;wanted;w Q n t V d;;;;;;;
37200;1199;5;t;;to;t u:;;;;;;;
38400;719;5;I;;to;t u:;;;;;;;
39120;3119;6;k;;convey;k V n v eI;;;;;;;
42240;719;6;V;;convey;k V n v eI;;;;;;;
42960;1439;6;n;;convey;k V n v eI;;;;;;;
44400;959;6;v;;convey;k V n v eI;;;;;;;
45360;3359;6;eI;;convey;k V n v eI;;;;;;;
48720;2159;7;h;;how;h aU;;;;;;;
50880;1919;7;aU;;how;h aU;;;;;;;
52800;3119;8;k;;coincidences;k @U I n s V d V n s I z;;;;;;;
55920;1679;8;@U;;coincidences;k @U I n s V d V n s I z;;;;;;;
57600;1919;8;I;;coincidences;k @U I n s V d V n s I z;;;;;;;
59520;1919;8;n;;coincidences;k @U I n s V d V n s I z;;;;;;;
61440;1199;8;s;;coincidences;k @U I n s V d V n s I z;;;;;;;
62640;959;8;V;;coincidences;k @U I n s V d V n s I z;;;;;;;
63600;1439;8;d;;coincidences;k @U I n s V d V n s I z;;;;;;;
65040;719;8;V;;coincidences;k @U I n s V d V n s I z;;;;;;;
65760;1919;8;n;;coincidences;k @U I n s V d V n s I z;;;;;;;
67680;1919;8;s;;coincidences;k @U I n s V d V n s I z;;;;;;;
69600;1919;8;I;;coincidences;k @U I n s V d V n s I z;;;;;;;
71520;2519;8;z;;coincidences;k @U I n s V d V n s I z;;;;;;;
74040;1319;9;w;;were;w i: R;;;;;;;
75360;1679;9;i:;;were;w i: R;;;;;;;
77040;959;9;R;;were;w i: R;;;;;;;
78000;1439;10;n;;noticeable;n @U t V s V b V l;;;;;;;
79440;1919;10;@U;;noticeable;n @U t V s V b V l;;;;;;;
81360;1199;10;4;;noticeable;n @U t V s V b V l;;;;;;;
82560;959;10;V;;noticeable;n @U t V s V b V l;;;;;;;
83520;2639;10;s;;noticeable;n @U t V s V b V l;;;;;;;
86160;719;10;V;;noticeable;n @U t V s V b V l;;;;;;;
86880;1439;10;b;;noticeable;n @U t V s V b V l;;;;;;;
88320;719;10;V;;noticeable;n @U t V s V b V l;;;;;;;
89040;4079;10;l;;noticeable;n @U t V s V b V l;;;;;;;
93120;1439;-1;<p:>;;;;;;;;;;
94560;959;11;V;;and;V n d;;;;;;;
95520;1199;11;n;;and;V n d;;;;;;;
96720;2879;12;f;;felt;f E l t;;;;;;;
99600;2159;12;E;;felt;f E l t;;;;;;;
101760;1439;12;l;;felt;f E l t;;;;;;;
103200;1919;13;m;;meaningful;m i: n I N f V l;;;;;;;
105120;2159;13;i:;;meaningful;m i: n I N f V l;;;;;;;
107280;1199;13;n;;meaningful;m i: n I N f V l;;;;;;;
108480;1199;13;i:;;meaningful;m i: n I N f V l;;;;;;;
109680;1439;13;N;;meaningful;m i: n I N f V l;;;;;;;
111120;3359;13;f;;meaningful;m i: n I N f V l;;;;;;;
114480;719;13;V;;meaningful;m i: n I N f V l;;;;;;;
115200;3599;13;l;;meaningful;m i: n I N f V l;;;;;;;
118800;6719;-1;<p:>;;;;;;;;;;
125520;1199;14;V;;and;V n d;;;;;;;
126720;1439;14;n;;and;V n d;;;;;;;
128160;1439;15;h;;how;h aU;;;;;;;
129600;2159;15;aU;;how;h aU;;;;;;;
131760;959;16;D;;they;D eI;;;;;;;
132720;1919;16;eI;;they;D eI;;;;;;;
134640;1919;17;k;;could;k U d;;;;;;;
136560;959;17;U;;could;k U d;;;;;;;
137520;1199;17;d;;could;k U d;;;;;;;
138720;1439;18;m;;matter;m { t 3`;;;;;;;
140160;2879;18;{;;matter;m { t 3`;;;;;;;
143040;719;18;t;;matter;m { t 3`;;;;;;;
143760;2639;18;3`;;matter;m { t 3`;;;;;;;
146400;3839;19;i:;;even;i: v I n;;;;;;;
150240;1199;19;v;;even;i: v I n;;;;;;;
151440;719;19;I;;even;i: v I n;;;;;;;
152160;959;19;n;;even;i: v I n;;;;;;;
153120;1439;20;I;;if;I f;;;;;;;
154560;1199;20;f;;if;I f;;;;;;;
155760;1199;21;D;;they;D eI;;;;;;;
156960;1199;21;eI;;they;D eI;;;;;;;
158160;3839;22;w;;were;w i: R;;;;;;;
162000;959;22;i:;;were;w i: R;;;;;;;
162960;719;22;R;;were;w i: R;;;;;;;
163680;959;23;V;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
164640;719;23;n;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
165360;1439;23;I;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
166800;1919;23;k;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
168720;1679;23;s;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
170400;1199;23;p;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
171600;1679;23;l;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
173280;1439;23;eI;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
174720;1199;23;n;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
175920;959;23;V;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
176880;1439;23;b;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
178320;719;23;V;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
179040;4079;23;l;;unexplainable;V n I k s p l eI n V b V l;;;;;;;
183120;21359;-1;<p:>;;;;;;;;;;
BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3119;-1;<p:>;;;;;;;;;;
3120;719;0;h;;He;h i:;;;;;;;
3840;1679;0;i:;;He;h i:;;;;;;;
5520;2879;1;I;;is;I z;;;;;;;
8400;959;1;z;;is;I z;;;;;;;
9360;719;2;b;;best;b E s t;;;;;;;
10080;719;2;E;;best;b E s t;;;;;;;
10800;719;2;s;;best;b E s t;;;;;;;
11520;719;3;n;;known;n @U n;;;;;;;
12240;959;3;@U;;known;n @U n;;;;;;;
13200;719;3;n;;known;n @U n;;;;;;;
13920;959;4;O:;;for;f O: R;;;;;;;
14880;719;4;R;;for;f O: R;;;;;;;
15600;719;5;I;;his;h I z;;;;;;;
16320;719;5;z;;his;h I z;;;;;;;
